temp,soc,r1
0,0,0.683517208958061
0,0.05,0.725795571625127
0,0.1,0.575005262700616
0,0.15,0.424214953776106
0,0.2,0.363251313896892
0,0.25,0.322641952381671
0,0.3,0.291413096418507
0,0.35,0.274355241079558
0,0.4,0.257297385740609
0,0.45,0.248506755677103
0,0.5,0.2398748318105
0,0.55,0.236163375180106
0,0.6,0.236262516473907
0,0.65,0.237208041956423
0,0.7,0.243103048643909
0,0.75,0.248998055331396
0,0.8,0.251616937762184
0,0.85,0.253015466818738
0,0.9,0.254413995875293
0,0.95,0.255812524931847
0,1,0.257211053988401
10,0,0.672129919549357
10,0.05,0.565476117628399
10,0.1,0.374313732078921
10,0.15,0.235928832996798
10,0.2,0.215497419954241
10,0.25,0.196166032192692
10,0.3,0.183874061579745
10,0.35,0.171582090966799
10,0.4,0.162815654599433
10,0.45,0.154191835202648
10,0.5,0.148734025475167
10,0.55,0.14413304261754
10,0.6,0.14566507488479
10,0.65,0.15106954377339
10,0.7,0.157335992716603
10,0.75,0.164703852193341
10,0.8,0.168833476027302
10,0.85,0.163982213632774
10,0.9,0.159130951238245
10,0.95,0.154279688843717
10,1,0.149428426449188
20,0,0.637722875189894
20,0.05,0.353881414651562
20,0.1,0.16291291846887
20,0.15,0.147140638344454
20,0.2,0.136018628199851
20,0.25,0.136424958646219
20,0.3,0.135008550850827
20,0.35,0.127435751279001
20,0.4,0.119782772092726
20,0.45,0.111737423422224
20,0.5,0.104217862492786
20,0.55,0.100928908748953
20,0.6,0.0982545570339203
20,0.65,0.106855563189901
20,0.7,0.115456569345882
20,0.75,0.119705545030323
20,0.8,0.123921890287978
20,0.85,0.117727191424292
20,0.9,0.11079097550149
20,0.95,0.103854759578688
20,1,0.096918543655886
30,0,0.222095455409774
30,0.05,0.161003263033743
30,0.1,0.0999110706577127
30,0.15,0.0964718821901547
30,0.2,0.093855556952019
30,0.25,0.0983537012525234
30,0.3,0.103058891038981
30,0.35,0.0990109036949351
30,0.4,0.0945754504599027
30,0.45,0.0875548599839061
30,0.5,0.0803801871130209
30,0.55,0.0764693023364408
30,0.6,0.0728049293340596
30,0.65,0.0839744624129629
30,0.7,0.0965064706250548
30,0.75,0.0967781740727004
30,0.8,0.0957137352787983
30,0.85,0.0887740702993337
30,0.9,0.0810895147969132
30,0.95,0.0734049592944927
30,1,0.0657204037920723
40,0,0.211959757262854
40,0.05,0.112044639705848
40,0.1,0.0874501111002051
40,0.15,0.0714432425521416
40,0.2,0.0719437113304806
40,0.25,0.0738470385854041
40,0.3,0.0779086955867271
40,0.35,0.0804939975175619
40,0.4,0.0812426116219872
40,0.45,0.0781702265164632
40,0.5,0.0712388091481154
40,0.55,0.0651501599099608
40,0.6,0.0597533218754852
40,0.65,0.0658258263874759
40,0.7,0.0795109615621919
40,0.75,0.0835007575227512
40,0.8,0.0823328300339875
40,0.85,0.075961759429251
40,0.9,0.067408754455451
40,0.95,0.0588557494816509
40,1,0.0503027445078509
